from,car_count,bike_count
2022-02-28,81002.0,2
2022-03-01,84689.0,2
2022-03-02,86300.0,8
2022-03-03,87295.0,4
2022-03-04,82412.0,8
2022-03-05,57280.0,4
2022-03-06,59222.0,2
2022-03-07,81193.0,5
2022-03-08,85949.0,6
2022-03-09,86383.0,7
2022-03-10,87487.0,1
2022-03-11,82101.0,3
2022-03-12,56071.0,5
2022-03-13,59167.0,4
2022-03-14,81750.0,5
2022-03-15,86499.0,3
2022-03-16,86367.0,5
2022-03-17,88240.0,3
2022-03-18,83747.0,3
2022-03-19,58882.0,10
2022-03-20,61118.0,10
2022-03-21,83291.0,8
2022-03-22,86953.0,6
2022-03-23,89241.0,12
2022-03-24,89204.0,6
2022-03-25,84295.0,4
2022-03-26,59892.0,12
2022-03-27,59729.0,11
2022-03-28,84207.0,6
2022-03-29,88869.0,6
2022-03-30,90383.0,10
2022-03-31,93085.0,20
2022-04-01,85591.0,10
2022-04-02,60138.0,27
2022-04-03,60648.0,10
2022-04-04,85026.0,20
2022-04-05,91102.0,21
2022-04-06,93287.0,35
2022-04-07,94624.0,18
2022-04-08,87805.0,15
2022-04-09,60056.0,17
2022-04-10,51620.0,26
2022-04-11,69698.0,24
2022-04-12,69228.0,16
2022-04-13,64662.0,7
2022-04-14,46314.0,14
2022-04-15,43435.0,23
2022-04-16,44089.0,34
2022-04-17,58122.0,36
2022-04-18,54997.0,30
2022-04-19,86415.0,31
2022-04-20,91188.0,36
2022-04-21,93060.0,41
2022-04-22,90374.0,55
2022-04-23,65086.0,27
2022-04-24,64715.0,33
2022-04-25,88851.0,27
2022-04-26,93041.0,31
2022-04-27,94667.0,32
2022-04-28,94232.0,37
2022-04-29,92909.0,42
2022-04-30,66358.0,60
2022-05-01,63808.0,51
2022-05-02,89270.0,42
2022-05-03,92273.0,44
2022-05-04,93794.0,43
2022-05-05,96832.0,40
2022-05-06,91014.0,34
2022-05-07,67348.0,53
2022-05-08,66984.0,57
2022-05-09,89238.0,41
2022-05-10,86837.0,32
2022-05-11,93986.0,49
2022-05-12,95196.0,51
2022-05-13,91883.0,27
2022-05-14,68488.0,38
2022-05-15,64945.0,45
2022-05-16,86116.0,46
2022-05-17,50793.0,21
2022-05-18,91223.0,35
2022-05-19,96039.0,35
2022-05-20,91718.0,49
2022-05-21,66849.0,31
2022-05-22,66903.0,55
2022-05-23,90909.0,42
2022-05-24,93961.0,21
2022-05-25,96130.0,40
2022-05-26,57320.0,43
2022-05-27,79831.0,25
2022-05-28,61466.0,51
2022-05-29,68247.0,24
2022-05-30,91280.0,30
2022-05-31,85820.0,43
2022-06-01,96202.0,57
2022-06-02,96324.0,38
2022-06-03,89928.0,36
2022-06-04,60690.0,33
2022-06-05,55271.0,52
2022-06-06,63501.0,65
2022-06-07,95158.0,43
2022-06-08,95975.0,39
2022-06-09,97647.0,39
2022-06-10,93928.0,59
2022-06-11,69865.0,26
2022-06-12,67403.0,38
2022-06-13,40263.0,57
2022-06-14,69193.0,75
2022-06-15,97335.0,49
2022-06-16,99911.0,45
2022-06-17,95170.0,27
2022-06-18,70475.0,41
2022-06-19,70866.0,46
2022-06-20,95014.0,62
2022-06-21,99664.0,40
2022-06-22,99401.0,46
2022-06-23,96631.0,56
2022-06-24,91489.0,59
2022-06-25,66121.0,32
2022-06-26,67135.0,34
2022-06-27,90299.0,40
2022-06-28,94864.0,44
2022-06-29,96567.0,56
2022-06-30,99092.0,78
2022-07-01,89079.0,29
2022-07-02,64409.0,38
2022-07-03,62316.0,23
2022-07-04,81657.0,59
2022-07-05,83722.0,53
2022-07-06,83709.0,44
2022-07-07,82854.0,45
2022-07-08,80026.0,31
2022-07-09,57402.0,50
2022-07-10,60130.0,32
2022-07-11,73318.0,48
2022-07-12,71260.0,52
2022-07-13,69667.0,37
2022-07-14,71566.0,35
2022-07-15,70887.0,54
2022-07-16,54786.0,44
2022-07-17,56092.0,38
2022-07-18,69944.0,40
2022-07-19,68036.0,66
2022-07-20,66888.0,38
2022-07-21,72432.0,57
2022-07-22,66656.0,26
2022-07-23,54803.0,49
2022-07-24,56555.0,39
2022-07-25,69494.0,24
2022-07-26,67667.0,47
2022-07-27,68874.0,71
2022-07-28,69307.0,43
2022-07-29,72300.0,61
2022-07-30,62260.0,27
2022-07-31,65302.0,28
2022-08-01,83710.0,37
2022-08-02,82722.0,23
2022-08-03,85320.0,50
2022-08-04,85817.0,43
2022-08-05,83666.0,40
2022-08-06,64319.0,48
2022-08-07,66222.0,41
2022-08-08,88350.0,51
2022-08-09,89823.0,46
2022-08-10,91756.0,70
2022-08-11,95305.0,55
2022-08-12,90648.0,72
2022-08-13,68124.0,64
2022-08-14,75279.0,65
2022-08-15,91326.0,64
2022-08-16,90857.0,29
2022-08-17,92903.0,48
2022-08-18,91994.0,46
2022-08-19,90425.0,49
2022-08-20,66097.0,53
2022-08-21,67888.0,47
2022-08-22,89594.0,55
2022-08-23,92705.0,63
2022-08-24,92977.0,72
2022-08-25,96428.0,65
2022-08-26,90301.0,43
2022-08-27,64869.0,58
2022-08-28,67785.0,58
2022-08-29,88033.0,76
2022-08-30,90973.0,45
2022-08-31,92893.0,43
2022-09-01,94482.0,41
2022-09-02,88331.0,39
2022-09-03,62892.0,35
2022-09-04,65510.0,38
2022-09-05,86886.0,52
2022-09-06,88902.0,60
2022-09-07,89608.0,60
2022-09-08,91494.0,52
2022-09-09,85470.0,45
2022-09-10,62274.0,41
2022-09-11,64804.0,43
2022-09-12,85286.0,23
2022-09-13,88564.0,45
2022-09-14,90996.0,35
2022-09-15,89035.0,37
2022-09-16,88583.0,45
2022-09-17,68034.0,49
2022-09-18,66531.0,38
2022-09-19,88767.0,34
2022-09-20,91593.0,49
2022-09-21,84293.0,46
2022-09-22,89639.0,43
2022-09-23,23235.0,14
2024-05-03,21815.0,36
2024-05-04,61059.0,39
2024-05-05,0.0,29
2024-05-06,0.0,21
2024-05-07,0.0,33
2024-05-08,0.0,30
2024-05-09,0.0,23
2024-05-10,0.0,33
2024-05-11,0.0,32
2024-05-12,0.0,35
2024-05-13,0.0,39
2024-05-14,0.0,36
2024-05-15,56816.0,40
2024-05-16,96947.0,57
2024-05-17,51960.0,10
2024-05-18,57438.0,47
2024-05-19,53446.0,54
2024-05-20,60336.0,43
2024-05-21,92834.0,45
2024-05-22,93709.0,41
2024-05-23,94340.0,42
2024-05-24,87910.0,31
2024-05-25,67406.0,43
2024-05-26,67627.0,48
2024-05-27,86779.0,30
2024-05-28,92296.0,40
2024-05-29,90810.0,47
2024-05-30,91373.0,33
2024-05-31,87866.0,36
2024-06-01,66804.0,35
2024-06-02,69730.0,33
2024-06-03,87527.0,37
2024-06-04,88571.0,45
2024-06-05,89494.0,39
2024-06-06,92060.0,46
2024-06-07,88311.0,38
2024-06-08,65779.0,20
2024-06-09,66206.0,21
2024-06-10,87285.0,23
2024-06-11,26671.0,35
