Year,started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude,start_distance,end_distance,Month
2020,2020-12-01 15:25:57.663000+00:00,2020-12-01 15:34:00.118000+00:00,482.0,617.0,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118864,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.3057030367997504,0.9453004914728216,12
2020,2020-12-01 15:26:07.051000+00:00,2020-12-01 15:34:12.297000+00:00,485.0,617.0,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118864,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.3057030367997504,0.9453004914728216,12
2020,2020-12-01 15:26:14.991000+00:00,2020-12-01 15:35:45.120000+00:00,570.0,518.0,Ullevålsveien,ved taxi stoppen,59.9246852,10.7395045,518.0,Ullevålsveien,ved taxi stoppen,59.9246852,10.7395045,0.6182828774469906,0.6182828774469906,12
2020,2020-12-01 15:33:29.537000+00:00,2020-12-01 15:37:37.665000+00:00,248.0,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,521.0,Jess Carlsens gate,ved Hausmanns gate,59.9186359,10.7523939,0.9453004914728216,0.6562433610641393,12
2020,2020-12-01 15:43:50.332000+00:00,2020-12-01 15:47:58.615000+00:00,248.0,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,0.9453004914728216,0.9617131207534476,12
2020,2020-12-01 15:51:37.100000+00:00,2020-12-01 15:56:11.081000+00:00,273.0,551.0,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,0.4829594161809233,0.9453004914728216,12
2020,2020-12-01 15:59:43.280000+00:00,2020-12-01 16:20:40.912000+00:00,1257.0,617.0,Bjerregaardsgate Øst,ved Uelands gate,59.92716771401357,10.749754560118864,499.0,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,0.3057030367997504,0.2764207907435052,12
2020,2020-12-01 15:59:48.040000+00:00,2020-12-01 16:08:39.121000+00:00,531.0,442.0,Vulkan,ved Maridalsveien,59.92251,10.75101,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,0.21799500368211,0.9617131207534476,12
2020,2020-12-01 16:15:49.876000+00:00,2020-12-01 16:23:00.226000+00:00,430.0,739.0,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232,598.0,Sofienbergparken nord,langs Helgesens gate,59.923229,10.766171,0.8869723747748545,0.8842330488080928,12
2020,2020-12-01 16:16:04.331000+00:00,2020-12-01 16:21:31.756000+00:00,327.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,597.0,Fredensborg,ved rundkjøringen,59.920995,10.750358,0.6658408826291513,0.3854087776097813,12
2020,2020-12-01 16:19:54.737000+00:00,2020-12-01 16:28:29.236000+00:00,514.0,620.0,Bislettgata,ved Sofies Gate,59.92377440938114,10.734712874574,433.0,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745,0.8889553897201881,0.8278332726377075,12
2020,2020-12-01 16:21:03.991000+00:00,2020-12-01 16:30:25.031000+00:00,561.0,585.0,Nordre gate,ved Grünerbrua,59.92114988507087,10.754714015938562,620.0,Bislettgata,ved Sofies Gate,59.92377440938114,10.734712874574,0.4355061911580464,0.8889553897201881,12
2020,2020-12-01 16:22:34.249000+00:00,2020-12-01 16:28:18.367000+00:00,344.0,422.0,St. Hanshaugen,langs Waldemar Thranes gate,59.923703,10.740542,421.0,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819611,0.5659280661356484,0.40425771419613,12
2020,2020-12-01 16:23:38.464000+00:00,2020-12-01 16:26:38.224000+00:00,179.0,489.0,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,385.0,Søndre gate,ved Ankerbrua,59.918632,10.757867,0.9453004914728216,0.766858466191609,12
2020,2020-12-01 16:26:40.611000+00:00,2020-12-01 16:36:46.715000+00:00,606.0,398.0,Ringnes Park,ved Sannergata,59.92843404417577,10.75943014633117,537.0,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756,0.6658408826291513,0.9831862492668944,12
2020,2020-12-01 16:31:01.983000+00:00,2020-12-01 16:34:37.555000+00:00,215.0,412.0,Jakob kirke,langs Torggata,59.917866,10.754898,551.0,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182,0.7731107645605718,0.4829594161809233,12
2020,2020-12-01 16:38:38.260000+00:00,2020-12-01 16:55:25.841000+00:00,1007.0,507.0,Jens Bjelkes gate,langs Trondheimsveien,59.919179,10.764162,470.0,St. Hanshaugen park nord,krysset Colletts gt / Geitmyrsveien,59.92979845370007,10.743540765932096,0.9617131207534476,0.7129624702919516,12
2020,2020-12-01 16:46:50.323000+00:00,2020-12-01 16:49:41.246000+00:00,170.0,433.0,Ila,langs Uelandsgt ved Colletts,59.931828,10.748745,499.0,Bjerregaards gate,ovenfor Fredrikke Qvams gate,59.925488,10.746058,0.8278332726377075,0.2764207907435052,12
