Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020-08-31,22:00:00,2020-09-30,22:00:00,2020,8,Monday,Light_Vehicles,6205
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020-08-31,22:00:00,2020-09-30,22:00:00,2020,8,Monday,Light_Vehicles,11938
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020-09-30,22:00:00,2020-10-31,23:00:00,2020,9,Wednesday,Light_Vehicles,5347
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020-09-30,22:00:00,2020-10-31,23:00:00,2020,9,Wednesday,Light_Vehicles,5671
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020-09-30,22:00:00,2020-10-31,23:00:00,2020,9,Wednesday,Light_Vehicles,1142
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020-09-30,22:00:00,2020-10-31,23:00:00,2020,9,Wednesday,Light_Vehicles,5677
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020-09-30,22:00:00,2020-10-31,23:00:00,2020,9,Wednesday,Light_Vehicles,6483
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020-09-30,22:00:00,2020-10-31,23:00:00,2020,9,Wednesday,Light_Vehicles,12160
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020-10-31,23:00:00,2020-11-30,23:00:00,2020,10,Saturday,Light_Vehicles,4798
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020-10-31,23:00:00,2020-11-30,23:00:00,2020,10,Saturday,Light_Vehicles,5009
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020-10-31,23:00:00,2020-11-30,23:00:00,2020,10,Saturday,Light_Vehicles,905
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020-10-31,23:00:00,2020-11-30,23:00:00,2020,10,Saturday,Light_Vehicles,5015
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020-10-31,23:00:00,2020-11-30,23:00:00,2020,10,Saturday,Light_Vehicles,5697
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020-10-31,23:00:00,2020-11-30,23:00:00,2020,10,Saturday,Light_Vehicles,10712
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,4676
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,4812
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,787
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,4816
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,5459
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020-11-30,23:00:00,2020-12-31,23:00:00,2020,11,Monday,Light_Vehicles,10275
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020-12-31,23:00:00,2021-01-31,23:00:00,2020,12,Thursday,Light_Vehicles,4335
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020-12-31,23:00:00,2021-01-31,23:00:00,2020,12,Thursday,Light_Vehicles,4394
