Traffic_registration_point,Name,Road_reference,From,To,Year,Month,Traffic_volume,Confidence_interval_start,Confidence_interval_end,Coverage (%),Total_days,Included_days,Invalid_days,Invalid_length,Length_quality_grade (%),Lane,under_5_6m,over_5_6m,5_6m_to_7_6m,7_6m_to_12_5m,12_5m_to_16_0m,over_16_0m,16_0m_to_24_0m,over_24_0m,Hour,From_Date,From_Time,To_Date,To_Time,Day_of_Week,Light_Vehicles,Heavy_Vehicles,Traffic_Volume_Check,Traffic_Volume_Difference,Days_Check,Traffic_Volume_Outlier
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-07-31 22:00:00,2020-08-31 22:00:00,2020,7,13467,13467,13467,100.0,31,31,0,398,97.0,Totalt,11624,1445,331,185,40,890,883,7,22,2020-07-31,22:00:00,2020-08-31,22:00:00,Friday,11624,3781,15405,-1938,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020,8,5917,5917,5917,100.0,30,30,0,343,94.2,1,5199,375,142,91,22,119,115,4,22,2020-08-31,22:00:00,2020-09-30,22:00:00,Monday,5199,868,6067,-150,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020,8,6310,6310,6310,100.0,30,30,0,16,99.7,2,5729,565,194,88,5,278,277,1,22,2020-08-31,22:00:00,2020-09-30,22:00:00,Monday,5729,1408,7137,-827,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020,8,1255,1255,1255,100.0,30,30,0,7,99.4,3,1010,238,34,14,4,187,186,1,22,2020-08-31,22:00:00,2020-09-30,22:00:00,Monday,1010,664,1674,-419,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020,8,6320,6320,6320,100.0,30,30,0,17,99.7,Totalt i retning Solli Plass,5733,569,195,90,5,279,278,1,22,2020-08-31,22:00:00,2020-09-30,22:00:00,Monday,5733,1417,7150,-830,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020,8,7161,7161,7161,100.0,30,30,0,348,95.1,Totalt i retning Skøyen,6205,608,174,103,26,305,300,5,22,2020-08-31,22:00:00,2020-09-30,22:00:00,Monday,6205,1521,7726,-565,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-08-31 22:00:00,2020-09-30 22:00:00,2020,8,13481,13481,13481,100.0,30,30,0,365,97.3,Totalt,11938,1177,369,193,31,584,578,6,22,2020-08-31,22:00:00,2020-09-30,22:00:00,Monday,11938,2938,14876,-1395,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020,9,6119,6119,6119,100.0,31,31,0,336,94.5,1,5347,436,148,93,26,169,164,5,22,2020-09-30,22:00:00,2020-10-31,23:00:00,Wednesday,5347,1041,6388,-269,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020,9,6430,6430,6430,100.0,31,31,0,33,99.5,2,5671,726,206,88,7,425,424,1,22,2020-09-30,22:00:00,2020-10-31,23:00:00,Wednesday,5671,1877,7548,-1118,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020,9,1494,1494,1494,100.0,31,31,0,11,99.3,3,1142,341,37,14,4,286,285,1,22,2020-09-30,22:00:00,2020-10-31,23:00:00,Wednesday,1142,968,2110,-616,0,True
